Protein_IDs,log2FC,AveExpr,t,P,adj.P,B,Majority,Protein,Gene,direction,tier2
O95168,-1.1915795885265759,20.91550086296881,-4.440360973282763,4.125034974278816e-5,0.028151095395105758,2.0290163763295572,O95168,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4,NDUFB4,Up in OR,Up in OR (T2)
Q9ULV4,0.9312599386127935,20.806337327766464,4.381495264473413,5.053268910561943e-5,0.028151095395105758,1.8468782037239295,Q9ULV4,Coronin-1C,CORO1C,n.s.,Up in PD (T2)
Q53EL6,-1.3973740551117082,23.000160378138016,-4.1604633110897025,1.071588656988136e-4,0.028151095395105758,1.173313516267478,Q53EL6,Programmed cell death protein 4,PDCD4,Up in OR,Up in OR (T2)
P56556,-0.8871465200513846,21.468456398846044,-4.149775140952761,1.110772935194265e-4,0.028151095395105758,1.1411776440491153,P56556,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6,NDUFA6,n.s.,Up in OR (T2)
O00410,0.7467572752352325,22.73853769365876,4.134496897902435,1.1692015304763535e-4,0.028151095395105758,1.095313466546619,O00410,Importin-5,IPO5,n.s.,Up in PD (T2)
P31689,0.6513929761415014,21.94808273421019,4.0847267187616305,1.3780497514366246e-4,0.028151095395105758,0.9481003349749892,P31689,DnaJ homolog subfamily A member 1,DNAJA1,n.s.,Up in PD (T2)
Q6YN16,-0.991487663780898,21.33686532777564,-4.081336275842977,1.3965816283893713e-4,0.028151095395105758,0.9364031908336274,Q6YN16,Hydroxysteroid dehydrogenase-like protein 2,HSDL2,n.s.,Up in OR (T2)
P28329,-0.9515450694388292,23.104630059212358,-4.037236129787938,1.6171155806475555e-4,0.02852187605367126,0.8053861035249197,P28329,Choline O-acetyltransferase,CHAT,n.s.,Up in OR (T2)
P51970,-0.8761010214814213,21.225893874514185,-3.7168663443607612,4.584163202371216e-4,0.065043364757096,-0.12288369571056723,P51970,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8,NDUFA8,n.s.,Up in OR (T2)
Q16790,-0.7235045082890288,21.147412465082574,-3.715119960029471,4.609735276902623e-4,0.065043364757096,-0.12782417186022244,Q16790,Carbonic anhydrase 9,CA9,n.s.,Up in OR (T2)
Q9Y6M9,-0.5047967166857887,21.416013996578634,-3.6841518022860686,5.07902145738902e-4,0.06514999342159916,-0.21412059225270674,Q9Y6M9,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9,NDUFB9,n.s.,n.s.
Q9P0J0,-0.8398997676505786,21.80377096131338,-3.5797029372397797,7.066932998968636e-4,0.07723659730333242,-0.5066980611514751,Q9P0J0,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13,NDUFA13,n.s.,Up in OR (T2)
Q9NX40,-0.6649259574476964,21.601343620352274,-3.5733452548908224,7.202616801942966e-4,0.07723659730333242,-0.5236710983357975,Q9NX40,OCIA domain-containing protein 1,OCIAD1,n.s.,Up in OR (T2)
